###
# timestamp: 2455813.6997568
# Gaussian 1 [amp, RV +/- err, wid]: [0.83, -1.01 +/- 0.03, 4.51]
# Gaussian 2 [amp, RV +/- err, wid]: [0.22, 30.00 +/- 0.00, 15.00]
# Uncorrected_RV, BF_amp, Gaussian_fit
###
33.0 -2.30333594985e-16 1.54700075736e-56
31.5 2.03657871893e-16 1.40965758571e-51
30.0 -4.8870507754e-17 7.5519062159e-47
28.5 3.23315843423e-16 2.37858892327e-42
27.0 -5.79232552849e-16 4.40455507758e-38
25.5 2.35534723766e-16 4.79517594409e-34
24.0 -3.39185518571e-16 3.06921207077e-30
22.5 1.3074095415e-16 1.15496572728e-26
21.0 2.13267721527e-16 2.55523675273e-23
19.5 1.19788832556e-16 3.32363284891e-20
18.0 -2.96641640767e-16 2.54164440073e-17
16.5 -6.10318329863e-17 1.14271093579e-14
15.0 2.66256425572e-16 3.0204929568e-12
13.5 1.4788936239e-16 4.6939571422e-10
12.0 7.33043924006e-17 4.2886466116e-08
10.5 -3.60392968448e-17 2.30367522539e-06
9.0 -1.82908480929e-16 7.27515232569e-05
7.5 -1.22441263686e-17 0.00135077426838
6.0 5.00904773499e-16 0.0147449503937
4.5 3.3431058392e-16 0.0946288803421
3.0 0.120078384243 0.357045806017
1.5 0.233880756585 0.792034354413
0.0 0.292081718343 1.03296106406
-1.5 0.233880756585 0.792033831679
-3.0 0.120078384243 0.357045334725
-4.5 3.45336779419e-16 0.0946286929802
-6.0 -6.04817605775e-16 0.0147449114677
-7.5 -2.04924681456e-16 0.00135076981091
-9.0 -3.40975536047e-16 7.27512351662e-05
-10.5 1.09427515957e-16 2.3036645826e-06
-12.0 5.84177230113e-16 4.28862396798e-08
-13.5 4.24287542913e-16 4.69392926063e-10
-15.0 -7.58728631533e-17 3.02047302194e-12
-16.5 -6.42522606148e-16 1.14270263987e-14
-18.0 -3.7944026155e-17 2.54162427131e-17
-19.5 1.07235391886e-16 3.32360433273e-20
-21.0 7.48567646878e-16 2.55521314284e-23
-22.5 -6.66151593774e-16 1.15495429336e-26
-24.0 3.61079448403e-16 3.06917966059e-30
-25.5 -5.32478683229e-16 4.79512214339e-34
-27.0 2.56417338093e-16 4.40450275263e-38
-28.5 8.95893070267e-17 2.37855909644e-42
-30.0 1.44060761889e-16 7.55180653301e-47
-31.5 -4.4431135214e-17 1.40963804831e-51
-33.0 -2.10524021984e-16 1.54697829543e-56
-34.5 -3.24226461699e-16 9.98115215826e-62
-36.0 -5.64930533811e-16 3.78614272087e-67
-37.5 9.6715500922e-17 8.44370660574e-73
-39.0 -1.81690581827e-16 1.1071058275e-78
-40.5 8.06742197247e-16 8.53424267362e-85
-42.0 3.00402503571e-16 3.86777042326e-91
-43.5 -1.28299732014e-16 1.03056701241e-97
-45.0 -5.36295769271e-16 1.61440180588e-104
-46.5 -4.76309580279e-16 1.48684905549e-111
-48.0 3.98473441315e-16 8.05085447923e-119
-49.5 -2.78158309884e-16 2.56293104086e-126
-51.0 4.70204109295e-16 4.79680113812e-134
-52.5 -6.48750208081e-16 5.27820624521e-142
-54.0 6.58629827928e-16 3.4146079495e-150
-55.5 -8.57556799473e-16 1.29871897772e-158
-57.0 -7.02837388611e-17 2.90408534566e-167
-58.5 -5.12811998457e-16 3.81789001107e-176
-60.0 6.18010227516e-16 2.95091906995e-185
-61.5 2.68834826518e-16 1.34094521249e-194
-63.0 -3.46203935382e-16 3.582486958e-204
-64.5 -7.54260833362e-16 5.62701471457e-214
-66.0 -3.00418041623e-16 5.19626549405e-224
-67.5 7.00124132782e-16 2.82113885857e-234
-69.0 3.82063379687e-16 9.00486989386e-245
-70.5 -2.04211482974e-16 1.6898582275e-255
-72.0 -1.1480049857e-15 1.86441654215e-266
-73.5 8.96583830817e-17 1.2093596475e-277
-75.0 7.22921088473e-16 4.61198459757e-289
-76.5 4.20532651602e-16 1.03404650681e-300
-78.0 -8.0379613889e-16 1.363051121e-312
-79.5 -1.03803051521e-15 0.0
-81.0 -1.20096000136e-17 0.0
-82.5 1.72633638106e-15 0.0
-84.0 6.87033787035e-16 0.0
-85.5 -2.57597287761e-16 0.0
-87.0 -1.63450104652e-15 0.0
-88.5 -6.42612225284e-16 0.0
-90.0 6.58577391467e-17 0.0
-91.5 1.5156623772e-15 0.0
-93.0 -1.52864984604e-16 0.0
-94.5 4.41674479666e-16 0.0
-96.0 -8.04149624341e-16 0.0
-97.5 -5.98902503424e-16 0.0
-99.0 -1.6393982153e-16 0.0
-100.5 7.63964952863e-16 0.0
-102.0 1.66107285063e-16 0.0
-103.5 -1.91447980629e-16 0.0
-105.0 -1.48275375706e-15 0.0
-106.5 -5.39705068961e-16 0.0
-108.0 5.24019571361e-16 0.0
-109.5 1.27471112116e-15 0.0
-111.0 1.81132126262e-16 0.0
-112.5 -1.63312936787e-15 0.0
-114.0 -1.00067322243e-15 0.0
-115.5 8.10673718475e-16 0.0
-117.0 7.47759160378e-16 0.0
-118.5 1.87332738872e-16 0.0
-120.0 -1.04799540283e-15 0.0
-121.5 -6.88653457982e-16 0.0
-123.0 2.06393545292e-16 0.0
-124.5 9.13820198802e-16 0.0
-126.0 -2.066470987e-16 0.0
-127.5 3.14167631526e-16 0.0
-129.0 -6.75281612831e-16 0.0
-130.5 2.53286971844e-16 0.0
-132.0 -7.32935377314e-16 0.0
-133.5 2.06262535414e-16 0.0
-135.0 -1.43794990688e-16 0.0
-136.5 2.74178339485e-16 0.0
-138.0 -7.6575864532e-16 0.0
-139.5 -1.20806748288e-16 0.0
-141.0 -5.319217459e-16 0.0
-142.5 4.48634348144e-16 0.0
-144.0 -1.7231690286e-16 0.0
-145.5 5.86821376156e-17 0.0
-147.0 4.45954067661e-17 0.0
-148.5 -1.16300637876e-17 0.0
-150.0 -3.18175647312e-16 0.0
-151.5 -8.60640812423e-17 0.0
-153.0 4.80523352421e-19 0.0
-154.5 2.00995161122e-17 0.0
-156.0 -3.81166688843e-17 0.0
-157.5 -5.97911295359e-16 0.0
-159.0 -6.17547942095e-16 0.0
-160.5 -9.02199061805e-17 0.0
-162.0 4.37329101668e-16 0.0
-163.5 4.31958215372e-16 0.0
-165.0 1.3129882667e-16 0.0
-166.5 -2.46293933542e-16 0.0
-168.0 -6.12549096929e-16 0.0
-169.5 -1.65875034551e-16 0.0
-171.0 3.05162106122e-16 0.0
-172.5 4.0688547385e-16 0.0
-174.0 6.03239304032e-16 0.0
-175.5 -3.21549912181e-16 0.0
-177.0 -4.08443357412e-16 0.0
-178.5 -1.04242931935e-15 0.0
-180.0 9.95773750935e-17 0.0
-181.5 7.21700384368e-16 0.0
-183.0 7.99000300189e-16 0.0
-184.5 -4.62899922585e-16 0.0
-186.0 -8.1100839243e-16 0.0
-187.5 -2.60305958621e-16 0.0
-189.0 4.66540300227e-16 0.0
-190.5 2.54051315648e-16 0.0
-192.0 -1.19988629066e-15 0.0
-193.5 -5.07635784638e-16 0.0
-195.0 2.72343284988e-16 0.0
-196.5 1.12221130473e-15 0.0
-198.0 -3.62438506328e-16 0.0
-199.5 -7.55757908052e-16 0.0
-201.0 -1.17607445317e-15 0.0
-202.5 9.27804158492e-16 0.0
